name,molecule_chembl_id,smiles,max_phase
CIANIDANOL,CHEMBL311498,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,4.0
HYDROXYAMPHETAMINE,CHEMBL1546,CC(N)Cc1ccc(O)cc1,4.0
DONEPEZIL,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,4.0
COUMARIN,CHEMBL6466,O=c1ccc2ccccc2o1,4.0
NIMODIPINE,CHEMBL1428,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,4.0
RIVASTIGMINE,CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,4.0
GALANTAMINE,CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,4.0
METHOXSALEN,CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,4.0
GEFITINIB,CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,4.0
CHLOROQUINE,CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.0
TACRINE,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,4.0
QUERCETIN,CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3.0
RUTIN,CHEMBL226335,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,3.0
CURCUMIN,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3.0
SEBETRALSTAT,CHEMBL5095248,COCc1nn(Cc2ccc(Cn3ccccc3=O)cc2)cc1C(=O)NCc1nccc(OC)c1F,3.0
EBSELEN,CHEMBL51085,O=c1c2ccccc2[se]n1-c1ccccc1,3.0
LANABECESTAT,CHEMBL3989948,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,3.0
PHLOROGLUCINOL,CHEMBL473159,Oc1cc(O)cc(O)c1,3.0
EPIGALOCATECHIN GALLATE,CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,3.0
BERGAPTEN,CHEMBL24171,COc1c2ccoc2cc2oc(=O)ccc12,3.0
ELENBECESTAT,CHEMBL4204869,C[C@H]1OC[C@]2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SC[C@H]12,3.0
HYDROXYTYROSOL,CHEMBL1950045,OCCc1ccc(O)c(O)c1,3.0
CAFFEIC ACID,CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,3.0
VERUBECESTAT,CHEMBL3301601,CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,3.0
(+)-EPICATECHIN,CHEMBL129482,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2,2.0
ELLAGIC ACID,CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,2.0
SPICLOMAZINE,CHEMBL1483796,O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1,2.0
ATABECESTAT,CHEMBL3916243,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1,2.0
(-)-EPICATECHIN,CHEMBL583912,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,2.0
ACETOSIDE,CHEMBL444478,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,2.0
LUTEOLIN,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2.0
LY-2886721,CHEMBL2396989,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)COC[C@H]2CS1,1.0
PSORALEN,CHEMBL164660,O=c1ccc2cc3ccoc3cc2o1,1.0
AZD-3839,CHEMBL2177913,NC1=N[C@@](c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)F)c2)c2cccc(F)c21,1.0
KAEMPFEROL,CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1.0
LY-2811376,CHEMBL2333941,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,1.0
