name,molecule_chembl_id,smiles,ic50_nM
PEPSTATIN,CHEMBL296588,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,0.05
CHEMBL2181022,CHEMBL2181022,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,0.0783
CHEMBL2181024,CHEMBL2181024,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C,0.126
CHEMBL5192597,CHEMBL5192597,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccc(O)cc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,0.178
CHEMBL5569371,CHEMBL5569371,CC(C)CC(=O)N[C@H](CCSC(F)(F)F)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C,0.4
CHEMBL257594,CHEMBL257594,Cc1ccc2c(NNC(=O)c3ccccc3O)c3ccccc3nc2c1C,0.5
CHEMBL4576166,CHEMBL4576166,CC(C)[C@@H]1NC(=O)C[C@H](O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CCCCCCCCCCCNC1=O,0.6
CHEMBL1076907,CHEMBL1076907,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](COCc1cc(F)cc(F)c1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,0.63
CHEMBL81927,CHEMBL81927,COc1cc(Br)c(C(=O)N[C@@H](Cc2cccc(Oc3ccccc3)c2)[C@@H](O)CN(CCc2ccc(Cl)cc2Cl)C(=O)CCN2C(=O)c3ccccc3C2=O)cc1OC,0.7
CHEMBL2407339,CHEMBL2407339,C=CCCCC(=O)N[C@@H](Cc1cccc(CC=C)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,0.84
CHEMBL3939441,CHEMBL3939441,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@H](C(=O)OC)C(C)C,1.0
CHEMBL558488,CHEMBL558488,CC(C)c1ccc2c(c1)[C@@H](NC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1)CC(C)(C)O2,1.0
CHEMBL595066,CHEMBL595066,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2,1.0
CHEMBL2408751,CHEMBL2408751,CCC[C@@]1(C)C[C@H](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)c2cc(CC(C)(C)C)ccc2O1,1.0
CHEMBL4558691,CHEMBL4558691,O=C1C[C@H](O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCCCNC(=O)[C@H](Cc2cccnc2)N1,1.1
CHEMBL2407340,CHEMBL2407340,C=CCc1cccc(C[C@H](NC(=O)c2cc(Br)c(=O)n(CC=C)c2)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ccc(CC)cc32)c1,2.0
CHEMBL5571122,CHEMBL5571122,CC(C)CC(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,2.0
